accuracy,loss,val_accuracy,val_loss,learning_rate
0.35731858015060425,1.4954349994659424,0.44252872467041016,1.2820607423782349,0.0003000000142492354
0.4126691222190857,1.3179259300231934,0.4367816150188446,1.2818390130996704,0.0003000000142492354
0.4471094608306885,1.2888507843017578,0.4683907926082611,1.2621216773986816,0.0003000000142492354
0.4569495618343353,1.2593822479248047,0.4683907926082611,1.2627631425857544,0.0003000000142492354
0.49015989899635315,1.2251455783843994,0.477011501789093,1.2652744054794312,0.0003000000142492354
0.5147601366043091,1.202441692352295,0.48275861144065857,1.244732141494751,0.0003000000142492354
0.5030750036239624,1.201180100440979,0.479885071516037,1.2453947067260742,0.0003000000142492354
0.5307503342628479,1.177075982093811,0.4712643623352051,1.2353447675704956,0.0003000000142492354
0.545510470867157,1.1581931114196777,0.5258620977401733,1.2328977584838867,0.0003000000142492354
0.5405904054641724,1.1532162427902222,0.479885071516037,1.2407633066177368,0.0003000000142492354
0.5036900639533997,1.2238107919692993,0.49712643027305603,1.2527114152908325,2.9999999242136255e-05
0.5282902717590332,1.1894454956054688,0.5,1.2392750978469849,2.9999999242136255e-05
0.5725707411766052,1.1328421831130981,0.522988498210907,1.240554928779602,2.9999999242136255e-05
0.5787208080291748,1.1060086488723755,0.5114942789077759,1.2544749975204468,2.9999999242136255e-05
0.6094710826873779,1.0769238471984863,0.49712643027305603,1.2339714765548706,2.9999999242136255e-05
0.6279212832450867,1.057798981666565,0.4885057508945465,1.2470767498016357,2.9999999242136255e-05
0.6273062825202942,1.039587140083313,0.5057471394538879,1.2374248504638672,2.9999999242136255e-05
0.6580565571784973,1.0088660717010498,0.5114942789077759,1.2421469688415527,2.9999999242136255e-05
0.6746617555618286,0.9953685998916626,0.5143678188323975,1.2439664602279663,8.999999408842996e-06
