model,test_accuracy,macro_f1,weighted_f1
ResNet50,0.39166666666666666,0.39013628439721393,0.390136284397214
MobileNetV2,0.35625,0.3576721865466538,0.35767218654665384
CustomCNN,0.3375,0.29979673986026073,0.29979673986026073
